"Time","Artificial intelligence"
"2021-04-01",2
"2021-05-01",2
"2021-06-01",2
"2021-07-01",2
"2021-08-01",2
"2021-09-01",2
"2021-10-01",3
"2021-11-01",3
"2021-12-01",3
"2022-01-01",3
"2022-02-01",4
"2022-03-01",3
"2022-04-01",3
"2022-05-01",3
"2022-06-01",3
"2022-07-01",3
"2022-08-01",3
"2022-09-01",4
"2022-10-01",4
"2022-11-01",4
"2022-12-01",6
"2023-01-01",7
"2023-02-01",10
"2023-03-01",10
"2023-04-01",12
"2023-05-01",15
"2023-06-01",21
"2023-07-01",21
"2023-08-01",20
"2023-09-01",18
"2023-10-01",18
"2023-11-01",17
"2023-12-01",21
"2024-01-01",29
"2024-02-01",27
"2024-03-01",25
"2024-04-01",22
"2024-05-01",22
"2024-06-01",23
"2024-07-01",24
"2024-08-01",26
"2024-09-01",28
"2024-10-01",27
"2024-11-01",30
"2024-12-01",31
"2025-01-01",35
"2025-02-01",39
"2025-03-01",47
"2025-04-01",40
"2025-05-01",33
"2025-06-01",43
"2025-07-01",44
"2025-08-01",44
"2025-09-01",100
"2025-10-01",48
"2025-11-01",52
"2025-12-01",52
"2026-01-01",54
"2026-02-01",66
"2026-03-01",70
